id,isDefault
1,0
2,0
3,0
5,0
10,0
13,0
14,0
16,0
17,1
18,1
20,0
23,1
24,0
25,0
28,0
29,0
35,0
38,1
41,0
47,0
50,0
54,0
63,0
69,1
73,0
74,1
76,0
82,0
84,0
89,0
96,0
97,0
101,0
107,0
108,0
110,0
111,1
113,1
118,0
121,1
124,0
131,1
132,1
135,0
141,1
142,0
144,1
148,0
149,1
150,0
155,0
157,0
159,1
164,0
167,1
185,1
187,1
190,0
198,0
202,0
203,0
205,1
212,0
217,0
225,0
232,0
237,0
239,0
245,0
247,1
252,0
255,0
260,0
262,0
264,0
265,0
266,1
269,0
278,0
282,1
283,0
287,0
289,0
292,0
302,0
305,0
310,0
315,0
324,0
327,0
330,0
334,0
336,0
344,0
345,0
348,0
353,0
355,0
356,1
357,0
361,0
362,0
365,1
371,1
372,1
374,0
375,0
380,1
382,0
388,0
389,1
394,0
395,0
397,0
401,0
403,0
405,1
407,0
410,0
419,0
420,0
424,0
428,1
430,0
432,0
434,0
436,0
438,0
439,1
444,0
445,0
448,0
449,1
450,0
451,1
455,0
456,1
457,0
463,0
464,0
465,0
472,0
474,0
475,0
480,0
483,0
484,0
487,1
490,1
492,0
495,0
498,0
500,1
501,1
502,0
505,0
509,0
510,0
512,0
513,0
514,0
518,0
519,0
521,0
522,0
523,1
530,0
531,0
532,0
540,0
541,0
547,0
549,0
555,0
560,0
563,0
566,0
567,0
575,1
577,1
579,1
582,0
583,0
584,0
586,0
588,0
591,0
592,0
598,1
609,0
612,0
618,1
621,1
622,0
623,1
625,0
637,0
640,1
644,1
645,0
649,0
651,1
655,0
658,1
659,0
661,0
662,0
663,0
669,0
670,0
677,0
678,0
688,0
693,0
697,0
698,0
704,1
709,0
715,0
719,0
723,0
724,1
728,1
729,0
739,0
742,0
743,0
744,0
746,0
748,0
752,0
754,0
756,0
758,0
762,0
767,0
768,0
769,0
771,0
772,1
773,0
775,1
778,0
790,0
795,0
797,1
805,1
808,0
814,0
816,0
818,0
820,0
826,1
827,0
828,0
830,0
833,0
837,0
838,0
839,0
841,0
842,0
850,0
855,0
856,1
861,0
864,0
865,1
867,1
868,0
872,0
874,1
878,1
882,0
888,0
889,0
892,1
894,0
900,0
